training/action_critic/adv,training/action_critic/critic_loss,training/action_critic/q_max,training/action_critic/q_mean,training/action_critic/q_min,training/action_critic/v_max,training/action_critic/v_mean,training/action_critic/v_min,training/action_critic/value_loss,training/actor/bc_flow_loss,training/chunk_critic/critic_loss,training/chunk_critic/q_logit_max,training/chunk_critic/q_logit_mean,training/chunk_critic/q_logit_min,training/chunk_critic/q_max,training/chunk_critic/q_mean,training/chunk_critic/q_min,training/goal_proposer/goal_proposer_loss,training/grad/max,training/grad/min,training/grad/norm,validation/action_critic/adv,validation/action_critic/critic_loss,validation/action_critic/q_max,validation/action_critic/q_mean,validation/action_critic/q_min,validation/action_critic/v_max,validation/action_critic/v_mean,validation/action_critic/v_min,validation/action_critic/value_loss,validation/actor/bc_flow_loss,validation/chunk_critic/critic_loss,validation/chunk_critic/q_logit_max,validation/chunk_critic/q_logit_mean,validation/chunk_critic/q_logit_min,validation/chunk_critic/q_max,validation/chunk_critic/q_mean,validation/chunk_critic/q_min,validation/goal_proposer/goal_proposer_loss,time/epoch_time,time/total_time,step
0.0002993833,0.1223123,0.99752384,0.48337555,0.1020726,0.99653757,0.4830299,0.11170996,0.022022089,0.45320186,0.4153416,6.980658,0.30412897,-2.239244,0.9990711,0.45628554,0.096281305,0.43645173,1.1177658,-1.1939796,28.627113,-0.0046619675,0.15355857,0.9979983,0.48161888,0.09795045,0.99652714,0.49046808,0.11200411,0.027945567,0.39282864,0.41345832,7.0943155,0.3712363,-2.2919505,0.99917084,0.47049376,0.091791816,0.46748728,0.03162587833404541,1655.2646808624268,32000
0.00015144967,0.13785206,0.99718934,0.4919753,0.109039046,0.99723697,0.49266177,0.10961702,0.030038044,0.42241943,0.40310502,6.8359914,0.47659585,-2.247593,0.9989267,0.47399235,0.095557295,0.4359757,3.641441,-3.4925907,44.145035,0.0038065496,0.17091562,0.9974734,0.49527246,0.10966783,0.99718046,0.49385482,0.10909127,0.03271351,0.46059495,0.41933694,6.7707863,0.53223556,-2.2347155,0.9988545,0.4829155,0.09667606,0.40304965,0.03154602217674255,1686.8107318878174,33000
-0.0014500816,0.18156953,0.9964711,0.456065,0.0991705,0.9963078,0.45545432,0.103282176,0.028612962,0.43296373,0.43455574,6.5740037,0.18168776,-2.3073936,0.9986058,0.44291934,0.09051248,0.56276655,2.6575003,-2.5988913,35.188305,0.0018428932,0.14398205,0.99777657,0.52313626,0.10896039,0.99726343,0.51651794,0.11160461,0.026775677,0.41327083,0.39175236,6.5855064,0.7560527,-2.3619049,0.9986217,0.5077791,0.08612415,0.5668092,0.03165393662452698,1718.4646956920624,34000
-0.0017634155,0.15849027,0.99735105,0.5164531,0.10477585,0.99686074,0.51833594,0.10765214,0.029699175,0.4077754,0.4165164,7.0095687,0.51921654,-2.2564507,0.9990975,0.49703017,0.09479449,0.36895055,1.366525,-1.4497018,26.60272,-0.000886566,0.14600156,0.9968171,0.4999106,0.106336765,0.9962469,0.49950737,0.11111996,0.029987343,0.44598693,0.40510055,6.954891,0.55222195,-2.2321508,0.999047,0.48644924,0.09690026,0.4937086,0.03164319205284118,1750.107915878296,35000
-0.0024141092,0.17118117,0.9965779,0.48496804,0.08974613,0.99675757,0.49356186,0.10259622,0.032383732,0.42630708,0.40599605,6.4401836,0.44892487,-2.4339545,0.99840647,0.479266,0.08061987,0.6085238,8.871326,-9.46566,101.3259,-0.006216448,0.17820442,0.99659747,0.5145921,0.09669542,0.9964318,0.5252059,0.109302066,0.032322086,0.44131893,0.43927917,6.50147,0.42204347,-2.3611648,0.99850106,0.49759293,0.086182415,0.4995495,0.031638476133346555,1781.7464199066162,36000
-0.00025167095,0.13978358,0.9984648,0.4857966,0.09331274,0.99706274,0.4863341,0.09935764,0.025725156,0.40506428,0.42137828,7.1419663,0.28862333,-2.3796165,0.9992094,0.45745346,0.0847403,0.4558367,3.7360392,-3.437124,45.294235,-0.0010612402,0.13607934,0.99873024,0.5165542,0.09717594,0.9973501,0.51969767,0.10234936,0.029729567,0.44104582,0.40267155,6.774598,0.5212991,-2.3092906,0.9988589,0.49229,0.09035643,0.4798145,0.03154423499107361,1813.2906823158264,37000
-0.0016928867,0.13750969,0.9985226,0.5151822,0.10033524,0.9968714,0.5156942,0.10681295,0.029430952,0.47341102,0.41371375,7.275741,0.60378534,-2.3260763,0.99930835,0.49395165,0.08898623,0.4835922,5.3111815,-5.6649027,52.276356,-6.2188454e-05,0.15134473,0.9983217,0.4810005,0.10042412,0.9972463,0.4791351,0.10507874,0.025049496,0.40148768,0.4371933,7.0922074,0.32431564,-2.3387475,0.99916905,0.46251246,0.08796435,0.44992048,0.0316112060546875,1844.9019119739532,38000
-0.00094016956,0.17607078,0.9980525,0.48473006,0.09253326,0.9969753,0.48650542,0.09726944,0.023625158,0.4032589,0.41228318,7.07622,0.49678007,-2.4324222,0.99915576,0.47295943,0.08073352,0.42843157,2.4180813,-3.2646093,35.59551,-0.00039499608,0.17067783,0.99857175,0.48036367,0.09720469,0.9972512,0.4800865,0.09875138,0.028254401,0.43838668,0.40117273,6.8694773,0.42633772,-2.3634834,0.99896204,0.4733431,0.085999995,0.43485558,0.03164469647407532,1876.546630859375,39000
0.0018093527,0.13274896,0.9974381,0.48408762,0.09495018,0.99730057,0.47927624,0.09601682,0.024127925,0.49028,0.41012797,6.7808642,0.44753703,-2.4046724,0.9988659,0.46539345,0.0828171,0.46806377,2.98706,-3.300031,39.290596,0.0009029984,0.13274424,0.9982926,0.4772075,0.091741666,0.9968638,0.47139367,0.10545572,0.028227184,0.42844465,0.43819866,6.9920816,0.30437934,-2.3853157,0.99908173,0.45134863,0.084299326,0.44808626,0.03162876796722412,1908.1754233837128,40000
0.00077372976,0.16349196,0.9977214,0.50960225,0.08840105,0.9973363,0.5072619,0.08709535,0.030307561,0.45445547,0.41898152,6.7822704,0.52696544,-2.469488,0.9988676,0.4934136,0.078025065,0.44229245,7.0378985,-6.250525,64.73891,0.0016140118,0.14277749,0.9979626,0.5167722,0.096434675,0.9970409,0.513261,0.09312872,0.029927077,0.40247464,0.4090786,6.895488,0.62057376,-2.4767778,0.9989887,0.49976873,0.077502266,0.49207312,0.0316078462600708,1939.7832942008972,41000
-0.00018614158,0.18160927,0.9984162,0.49592334,0.0883854,0.9972339,0.50324214,0.096130446,0.03462749,0.43717074,0.40009728,7.1696258,0.6093225,-2.3373592,0.999231,0.48804507,0.08807578,0.5514153,7.651374,-8.042502,76.30431,-0.0014204673,0.15678158,0.997809,0.48293978,0.09471621,0.9970298,0.4872859,0.09967262,0.03230828,0.4484687,0.41189566,7.158557,0.33204204,-2.4127872,0.9992224,0.46240377,0.08220279,0.4604692,0.03160959506034851,1971.3929195404053,42000
-0.0031527076,0.18458684,0.9981673,0.48930874,0.081715696,0.99685967,0.49821615,0.0883482,0.02895481,0.42076227,0.4347783,6.995389,0.48948288,-2.4833238,0.9990847,0.4847041,0.07703555,0.475717,2.248733,-2.1409297,31.816662,-0.0040357946,0.191043,0.99830186,0.50198925,0.08879537,0.9972957,0.51244444,0.09505187,0.028578319,0.45029795,0.42448577,6.963334,0.56391776,-2.364988,0.99905497,0.4885109,0.08588179,0.46222866,0.031599064588546756,2002.9920101165771,43000
0.0004247357,0.12779072,0.9978105,0.50928444,0.09149401,0.9961664,0.50655705,0.09394004,0.030742701,0.4405132,0.40617928,6.6993046,0.49643096,-2.424537,0.9987697,0.48359868,0.081320666,0.45953983,2.1107779,-1.7745848,30.172783,0.0022284915,0.13075992,0.9978594,0.5119576,0.09721313,0.99712425,0.5090756,0.09645336,0.032555304,0.4045944,0.4079835,6.5602875,0.5280088,-2.38074,0.9985865,0.4890884,0.08465321,0.4917012,0.03162672972679138,2034.618770122528,44000
0.004337703,0.1681633,0.9971408,0.46738315,0.08108413,0.99649894,0.46841055,0.085701264,0.028914023,0.39786175,0.4040493,6.8471036,0.31600678,-2.5525346,0.9989386,0.45537567,0.072256394,0.46350774,3.980949,-4.5795407,42.83275,0.0037702923,0.17628692,0.99759513,0.49192056,0.09290219,0.99756324,0.49345407,0.09663215,0.02679981,0.45414108,0.41781673,6.840454,0.4845566,-2.3939147,0.99893147,0.48406798,0.08363791,0.45489898,0.03161841607093811,2066.2372159957886,45000
-0.0007323052,0.20707536,0.9984024,0.486405,0.0881245,0.99664325,0.49362552,0.089982025,0.02719555,0.42014086,0.41101876,6.7694607,0.476832,-2.3004918,0.99885297,0.4836521,0.091082245,0.44803783,1.6078202,-2.10271,23.492365,0.0014405136,0.20763274,0.9979358,0.4856259,0.083531864,0.9969787,0.4885923,0.082362466,0.031278938,0.42868313,0.42195874,6.84192,0.42514035,-2.4776669,0.99893314,0.4798622,0.07743873,0.4849416,0.03165068030357361,2097.88792014122,46000
-0.0019116091,0.15814751,0.9965599,0.46811515,0.075957015,0.9963968,0.47247982,0.08806386,0.026245099,0.43032938,0.41239402,6.730989,0.30325437,-2.5254927,0.998808,0.45734167,0.074090265,0.44539714,2.6824553,-2.5428262,26.490717,-0.00090897846,0.17418696,0.99743205,0.47847852,0.08102207,0.99704874,0.4822592,0.08836729,0.031062169,0.44956702,0.4354969,6.694426,0.415565,-2.514569,0.9987638,0.46918985,0.07484312,0.47838438,0.03158522295951843,2129.4731698036194,47000
0.00088359794,0.14573114,0.9979201,0.4848693,0.0827212,0.99672,0.48466617,0.08745492,0.02526844,0.46043175,0.40299687,7.305982,0.4767123,-2.5914323,0.9993289,0.4701739,0.06969186,0.37821698,2.773186,-3.0236914,28.115131,-0.00014513938,0.1383622,0.998201,0.5324766,0.08767763,0.99678326,0.5324248,0.09306267,0.028300539,0.46407375,0.42197105,7.4096045,0.7178504,-2.5121315,0.9993949,0.5087497,0.07501208,0.37692446,0.03161038136482239,2161.083574771881,48000
